;link_ID;date;time_interval;travel_time
0;9377906285566510514;2016-05-21;[2016-05-21 23:20:00,2016-05-21 23:22:00);17.6
1;3377906288228510514;2016-05-21;[2016-05-21 18:46:00,2016-05-21 18:48:00);3.5
2;3377906284395510514;2016-05-21;[2016-05-21 07:06:00,2016-05-21 07:08:00);10.0
3;4377906284959500514;2016-05-21;[2016-05-21 14:34:00,2016-05-21 14:36:00);3.5
4;9377906282776510514;2016-05-21;[2016-05-21 05:04:00,2016-05-21 05:06:00);1.5
5;3377906287674510514;2016-05-21;[2016-05-21 16:04:00,2016-05-21 16:06:00);34.1
6;4377906288869500514;2016-05-21;[2016-05-21 04:26:00,2016-05-21 04:28:00);9.5
7;4377906287959500514;2016-05-21;[2016-05-21 10:36:00,2016-05-21 10:38:00);52.8
8;4377906285525800514;2016-05-21;[2016-05-21 17:50:00,2016-05-21 17:52:00);16.7
9;4377906280241600514;2016-05-21;[2016-05-21 14:40:00,2016-05-21 14:42:00);21.9
10;4377906284769500514;2016-05-21;[2016-05-21 01:40:00,2016-05-21 01:42:00);0.5
11;4377906282541600514;2016-05-21;[2016-05-21 10:06:00,2016-05-21 10:08:00);89.4
12;4377906282541600514;2016-05-21;[2016-05-21 18:30:00,2016-05-21 18:32:00);86.5
13;4377906289425800514;2016-05-21;[2016-05-21 04:10:00,2016-05-21 04:12:00);13.2
14;3377906280395510514;2016-05-21;[2016-05-21 15:04:00,2016-05-21 15:06:00);37.8
15;4377906286681600514;2016-05-21;[2016-05-21 00:30:00,2016-05-21 00:32:00);1.1
16;4377906284141600514;2016-05-21;[2016-05-21 19:42:00,2016-05-21 19:44:00);8.1
17;4377906286032600514;2016-05-21;[2016-05-21 11:50:00,2016-05-21 11:52:00);34.4
18;4377906280344800514;2016-05-21;[2016-05-21 00:02:00,2016-05-21 00:04:00);2.3
19;3377906281518510514;2016-05-21;[2016-05-21 14:02:00,2016-05-21 14:04:00);6.1
20;4377906287863800514;2016-05-21;[2016-05-21 05:58:00,2016-05-21 06:00:00);8.9
21;9377906283776510514;2016-05-21;[2016-05-21 21:00:00,2016-05-21 21:02:00);20.0
22;4377906288738500514;2016-05-21;[2016-05-21 15:56:00,2016-05-21 15:58:00);11.3
23;4377906284141600514;2016-05-21;[2016-05-21 12:06:00,2016-05-21 12:08:00);7.6
24;9377906282776510514;2016-05-21;[2016-05-21 23:42:00,2016-05-21 23:44:00);1.2
25;4377906288959500514;2016-05-21;[2016-05-21 18:10:00,2016-05-21 18:12:00);13.3
26;4377906288893600514;2016-05-21;[2016-05-21 11:08:00,2016-05-21 11:10:00);36.1
27;3377906289228510514;2016-05-21;[2016-05-21 05:12:00,2016-05-21 05:14:00);3.2
28;4377906289425800514;2016-05-21;[2016-05-21 14:52:00,2016-05-21 14:54:00);59.7
29;4377906288869500514;2016-05-21;[2016-05-21 22:00:00,2016-05-21 22:02:00);41.7
30;9377906286566510514;2016-05-21;[2016-05-21 16:50:00,2016-05-21 16:52:00);73.4
31;4377906282763800514;2016-05-21;[2016-05-21 22:16:00,2016-05-21 22:18:00);16.1
32;4377906289243600514;2016-05-21;[2016-05-21 17:30:00,2016-05-21 17:32:00);1.3
33;4377906282969500514;2016-05-21;[2016-05-21 13:26:00,2016-05-21 13:28:00);17.2
34;4377906284759500514;2016-05-21;[2016-05-21 17:46:00,2016-05-21 17:48:00);6.9
35;9377906288175510514;2016-05-21;[2016-05-21 23:44:00,2016-05-21 23:46:00);9.8
36;4377906281241600514;2016-05-21;[2016-05-21 12:48:00,2016-05-21 12:50:00);20.7
37;4377906286843600514;2016-05-21;[2016-05-21 00:10:00,2016-05-21 00:12:00);25.7
38;3377906281518510514;2016-05-21;[2016-05-21 23:22:00,2016-05-21 23:24:00);3.0
39;3377906282418510514;2016-05-21;[2016-05-21 08:56:00,2016-05-21 08:58:00);3.5
40;4377906287063800514;2016-05-21;[2016-05-21 12:30:00,2016-05-21 12:32:00);24.2
41;4377906286843600514;2016-05-21;[2016-05-21 05:22:00,2016-05-21 05:24:00);21.5
42;4377906280344800514;2016-05-21;[2016-05-21 01:12:00,2016-05-21 01:14:00);4.1
43;4377906284141600514;2016-05-21;[2016-05-21 03:56:00,2016-05-21 03:58:00);8.1
44;4377906282769500514;2016-05-21;[2016-05-21 17:04:00,2016-05-21 17:06:00);16.2
45;4377906287194800514;2016-05-21;[2016-05-21 11:32:00,2016-05-21 11:34:00);16.6
46;4377906280913600514;2016-05-21;[2016-05-21 00:16:00,2016-05-21 00:18:00);4.9
47;4377906287243600514;2016-05-21;[2016-05-21 14:56:00,2016-05-21 14:58:00);18.5
48;4377906287169500514;2016-05-21;[2016-05-21 22:58:00,2016-05-21 23:00:00);34.8
49;4377906289244800514;2016-05-21;[2016-05-21 10:06:00,2016-05-21 10:08:00);10.8
50;4377906286141600514;2016-05-21;[2016-05-21 20:24:00,2016-05-21 20:26:00);4.0
51;4377906289863800514;2016-05-21;[2016-05-21 10:42:00,2016-05-21 10:44:00);12.0
52;9377906282776510514;2016-05-21;[2016-05-21 15:12:00,2016-05-21 15:14:00);4.8
53;3377906285934510514;2016-05-21;[2016-05-21 11:36:00,2016-05-21 11:38:00);35.3
54;3377906289044510514;2016-05-21;[2016-05-21 12:10:00,2016-05-21 12:12:00);6.1
55;3377906280395510514;2016-05-21;[2016-05-21 05:54:00,2016-05-21 05:56:00);11.0
56;3377906287886510514;2016-05-21;[2016-05-21 23:26:00,2016-05-21 23:28:00);23.7
57;3377906289228510514;2016-05-21;[2016-05-21 11:42:00,2016-05-21 11:44:00);9.3
58;4377906288738500514;2016-05-21;[2016-05-21 14:58:00,2016-05-21 15:00:00);12.4
59;4377906287869500514;2016-05-21;[2016-05-21 23:32:00,2016-05-21 23:34:00);28.7
60;4377906280969500514;2016-05-21;[2016-05-21 03:00:00,2016-05-21 03:02:00);2.1
61;4377906280241600514;2016-05-21;[2016-05-21 14:38:00,2016-05-21 14:40:00);20.1
62;4377906289813600514;2016-05-21;[2016-05-21 08:00:00,2016-05-21 08:02:00);2.0
63;4377906288243600514;2016-05-21;[2016-05-21 21:06:00,2016-05-21 21:08:00);7.4
64;4377906288243600514;2016-05-21;[2016-05-21 22:26:00,2016-05-21 22:28:00);5.0
65;4377906289863800514;2016-05-21;[2016-05-21 20:14:00,2016-05-21 20:16:00);27.2
66;4377906289863800514;2016-05-21;[2016-05-21 22:36:00,2016-05-21 22:38:00);16.9
67;4377906288194800514;2016-05-21;[2016-05-21 19:30:00,2016-05-21 19:32:00);12.9
68;4377906287425800514;2016-05-21;[2016-05-21 00:28:00,2016-05-21 00:30:00);17.0
69;4377906283525800514;2016-05-21;[2016-05-21 11:00:00,2016-05-21 11:02:00);92.4
70;4377906289525800514;2016-05-21;[2016-05-21 08:10:00,2016-05-21 08:12:00);2.2
71;4377906289525800514;2016-05-21;[2016-05-21 08:50:00,2016-05-21 08:52:00);3.2
72;4377906280141600514;2016-05-21;[2016-05-21 17:46:00,2016-05-21 17:48:00);70.5
73;4377906285141600514;2016-05-21;[2016-05-21 04:16:00,2016-05-21 04:18:00);1.1
74;4377906285141600514;2016-05-21;[2016-05-21 15:26:00,2016-05-21 15:28:00);4.5
75;3377906289674510514;2016-05-21;[2016-05-21 15:54:00,2016-05-21 15:56:00);10.0
76;4377906285032600514;2016-05-21;[2016-05-21 16:06:00,2016-05-21 16:08:00);29.0
77;4377906287959500514;2016-05-21;[2016-05-21 22:52:00,2016-05-21 22:54:00);41.3
78;4377906287243600514;2016-05-21;[2016-05-21 22:02:00,2016-05-21 22:04:00);6.2
79;4377906287243600514;2016-05-21;[2016-05-21 23:34:00,2016-05-21 23:36:00);3.5
80;4377906284653600514;2016-05-21;[2016-05-21 17:46:00,2016-05-21 17:48:00);24.2
81;4377906284759500514;2016-05-21;[2016-05-21 00:48:00,2016-05-21 00:50:00);1.7
